Device : CargoWatch
Truck/Trailer ID: 1110SP
Serial Number: 002131510350T2
Unit Serial Number: 0000005001175486
Software Version: 6512
Temperature: °C
Pressure: Bar

Time,Setpoint Temperature,Logger Sensor 1,Op Mode Zone-1,Setpoint Temperature 2,Logger Sensor 2,Op Mode Zone-2,Logger Sensor 3,Logger Sensor 4,Op Mode,
4/26/2011 21:22,	12,	12.4,	Cool,	3,	8.9,	Off,	13.4,	11.9,"Diesel, Continuous"
4/26/2011 21:37,	12,	12.6,	Heat,	3,	11.3,	Off,	13.2,	11.8,"Diesel, Continuous"
4/26/2011 21:52,	12,	12.6,	Cool,	3,	10.1,	Off,	13.2,	12,"Diesel, Continuous"
4/26/2011 22:07,	12,	12.5,	Heat,	3,	11.1,	Off,	13,	11.6,"Diesel, Continuous"
4/26/2011 22:22,	12,	12.8,	Heat,	3,	11.9,	Off,	13,	12.2,"Diesel, Continuous"
4/26/2011 22:37,	12,	12.8,	Heat,	3,	11.9,	Off,	13.1,	12.2,"Diesel, Continuous"
4/26/2011 22:52,	12,	12.5,	Cool,	3,	9.8,	Off,	13.1,	12,"Diesel, Continuous"
4/26/2011 23:07,	12,	12.2,	Heat,	3,	10.1,	Off,	12.9,	11.3,"Diesel, Continuous"
4/26/2011 23:22,	12,	12.5,	Heat,	3,	11.3,	Off,	12.8,	11.6,"Diesel, Continuous"
4/26/2011 23:37,	12,	12.6,	Cool,	3,	11.7,	Off,	12.8,	11.9,"Diesel, Continuous"
4/26/2011 23:52,	12,	12.7,	Heat,	3,	11.8,	Off,	12.8,	12,"Diesel, Continuous"
4/27/2011 00:00,	Setpoint Temperature: 12.0
4/27/2011 00:00,	Setpoint Temperature 2: 3.0
4/27/2011 00:07,	12,	12.8,	Cool,	3,	11.9,	Off,	12.8,	12.2,"Diesel, Continuous"
4/27/2011 00:22,	12,	12.8,	Cool,	3,	11.8,	Off,	12.8,	12.2,"Diesel, Continuous"
