Time,Setpoint Zone-1,Return Zone-1,Discharge Zone-1,Coil Zone-1,Op Mode Zone-1,Ambient,Spare-1,Setpoint Zone-2,Return Zone-2,Discharge Zone-2,Coil Zone-2,Spare-2,Op Mode Zone-2,Spare-3,Unit Operating Mode,
6/16/2011 05:04,	-1,	5.8,	16.8,	15.2,	Cool,	15.1,	-----,	1,	9.2,	9.7,	11.3,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 05:09,	-1,	3.2,	-1.4,	0.2,	Cool,	15.8,	-----,	1,	9.2,	9.6,	11.2,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 05:14,	-1,	1.9,	-3.1,	-3,	Cool,	15.9,	-----,	1,	9.1,	9.4,	11,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 05:19,	-1,	1.6,	-3.5,	-4,	Cool,	15.9,	-----,	1,	9,	9.3,	10.8,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 05:24,	-1,	1.5,	-3.7,	-4.5,	Cool,	15.9,	-----,	1,	8.9,	9.2,	10.8,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 05:29,	-1,	1.6,	-3.9,	-5.2,	Cool,	16.2,	-----,	1,	8.9,	9.2,	10.7,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 05:34,	-1,	1.7,	-4.3,	-5.9,	Cool,	17.2,	-----,	1,	8.9,	9.1,	10.6,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 05:39,	-1,	2.1,	-2.3,	-7.2,	Cool,	16.6,	-----,	1,	8.8,	8.8,	10.4,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 05:44,	-1,	1.3,	-4,	-10.9,	Cool,	18.2,	-----,	1,	8.8,	8.7,	10.2,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 05:49,	-1,	1.3,	-4.1,	-11.7,	Cool,	17,	-----,	1,	8.8,	8.7,	10.2,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 05:54,	-1,	1.8,	-2.9,	-13,	Cool,	15.9,	-----,	1,	8.8,	8.6,	10.2,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 05:59,	-1,	2.2,	-1.4,	-13.6,	Cool,	16.2,	-----,	1,	8.9,	8.6,	10.1,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 06:04,	-1,	1.8,	-3.3,	-15.6,	Cool,	16.2,	-----,	1,	8.9,	8.7,	10.2,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 06:09,	-1,	1.3,	-4.1,	-16.8,	Cool,	17.1,	-----,	1,	8.9,	8.7,	10.2,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 06:13,	Variable Differential Defrost Entered Zone 1
6/16/2011 06:13,	Zone-1 Op Mode:  Defrost
6/16/2011 06:13,	-1,	0.4,	-4.5,	-17.9,	Defrost,	16,	-----,	1,	8.9,	8.8,	10.2,	-----,	Off,	-----,"Diesel, Continuous"
6/16/2011 06:18,	-1,	1.8,	0.1,	-0.8,	Defrost,	15.8,	-----,	1,	9,	8.8,	10.2,	-----,	Off,	-----,"Diesel, Continuous"
6/16/2011 06:23,	-1,	3.3,	4.3,	0.7,	Defrost,	15.7,	-----,	1,	9.1,	8.9,	10.4,	-----,	Off,	-----,"Diesel, Continuous"
