Device : ServiceWatch
Truck/Trailer ID: ee700187
Serial Number: A06935012373T1
Unit Serial Number: 0000006001127950
Software Version: D030
Temperature: °C
Pressure: Bar

Time,Setpoint,Return Control,Discharge Control,Coil,Ambient,Spare-1,Op Mode,Fuel Level,
4/19/2013 04:26,	-20.6,	-17.8,	-19.1,	-20.9,	5.8,	-----,"Start, Diesel, Cycle-Sentry",	30
4/19/2013 04:27,	-20.6,	-17.5,	-19.2,	-20.5,	5.8,	-----,"Diesel, Cycle-Sentry, Cool",	30
4/19/2013 04:36,	-20.6,	-20.6,	-27.9,	-25.8,	9.5,	-----,"Diesel, Cycle-Sentry, Null",	30
4/19/2013 04:51,	-20.6,	-18.9,	-21.1,	-22.7,	4.1,	-----,"Diesel, Cycle-Sentry, Null",	30
4/19/2013 04:57,	-20.6,	-17.8,	-18.9,	-20.9,	4.9,	-----,"Start, Diesel, Cycle-Sentry",	30
4/19/2013 04:58,	-20.6,	-17.4,	-19,	-20.3,	4.3,	-----,"Diesel, Cycle-Sentry, Cool",	30
4/19/2013 05:05,	-20.6,	-20.6,	-28.2,	-26.2,	7.8,	-----,"Diesel, Cycle-Sentry, Null",	30
4/19/2013 05:20,	-20.6,	-18.7,	-21.2,	-22.3,	9.8,	-----,"Diesel, Cycle-Sentry, Null",	30
4/19/2013 05:26,	-20.6,	-17.8,	-19.4,	-21.3,	9.1,	-----,"Start, Diesel, Cycle-Sentry",	30
4/19/2013 05:27,	-20.6,	-17.5,	-19.5,	-20.8,	8.7,	-----,"Diesel, Cycle-Sentry, Cool",	30
4/19/2013 05:34,	-20.6,	-20.6,	-27.9,	-25.8,	10.9,	-----,"Diesel, Cycle-Sentry, Null",	30
4/19/2013 05:49,	-20.6,	-18.8,	-21.1,	-22.4,	7.2,	-----,"Diesel, Cycle-Sentry, Null",	30
4/19/2013 05:55,	-20.6,	-17.8,	-19.2,	-21.1,	6.5,	-----,"Start, Diesel, Cycle-Sentry",	30
4/19/2013 05:56,	-20.6,	-17.5,	-19.3,	-20.6,	6.2,	-----,"Diesel, Cycle-Sentry, Cool",	30
4/19/2013 06:03,	-20.6,	-20.6,	-28.2,	-26.6,	10.3,	-----,"Diesel, Cycle-Sentry, Null",	30
4/19/2013 06:18,	-20.6,	-18.9,	-21.2,	-22.4,	7.1,	-----,"Diesel, Cycle-Sentry, Null",	30
4/19/2013 06:24,	-20.6,	-17.8,	-19.1,	-21,	5.6,	-----,"Start, Diesel, Cycle-Sentry",	30
4/19/2013 06:25,	-20.6,	-17.5,	-19.2,	-20.6,	5.2,	-----,"Diesel, Cycle-Sentry, Cool",	30
4/19/2013 06:33,	-20.6,	-20.6,	-28.2,	-26.4,	10.5,	-----,"Diesel, Cycle-Sentry, Null",	30
4/19/2013 06:48,	-20.6,	-18.9,	-21.2,	-22.2,	7.4,	-----,"Diesel, Cycle-Sentry, Null",	30
4/19/2013 06:54,	-20.6,	-17.8,	-19.2,	-20.9,	7.1,	-----,"Start, Diesel, Cycle-Sentry",	30
4/19/2013 06:55,	-20.6,	-17.5,	-19.3,	-20.5,	6.5,	-----,"Diesel, Cycle-Sentry, Cool",	30
4/19/2013 07:02,	-20.6,	-20.6,	-28.2,	-26.5,	11,	-----,"Diesel, Cycle-Sentry, Null",	30
4/19/2013 07:17,	-20.6,	-19,	-21.2,	-22.5,	6.9,	-----,"Diesel, Cycle-Sentry, Null",	25
4/19/2013 07:24,	-20.6,	-17.8,	-19.1,	-21,	6.6,	-----,"Start, Diesel, Cycle-Sentry",	30
4/19/2013 07:25,	-20.6,	-17.5,	-19.2,	-20.5,	6.4,	-----,"Diesel, Cycle-Sentry, Cool",	30
4/19/2013 07:33,	-20.6,	-20.6,	-28.2,	-26.7,	8,	-----,"Diesel, Cycle-Sentry, Null",	30
